yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1968,NL,CIN,CIN,,4,N,Cincinnati Reds,Crosley Field,733354,CIN
1968,AL,CLE,CLE,,3,N,Cleveland Indians,Cleveland Stadium,857994,CLE
1968,AL,DET,DET,,1,Y,Detroit Tigers,Tiger Stadium,2031847,DET
1968,NL,HOU,HOU,,10,N,Houston Astros,Astrodome,1312887,HOU
1968,NL,LAN,LAD,,7,N,Los Angeles Dodgers,Dodger Stadium,1581093,LAD
1968,AL,MIN,MIN,,7,N,Minnesota Twins,Metropolitan Stadium,1143257,MIN
1968,AL,NYA,NYY,,5,N,New York Yankees,Yankee Stadium I,1185666,NYY
1968,NL,NYN,NYM,,9,N,New York Mets,Shea Stadium,1781657,NYM
1968,AL,OAK,OAK,,6,N,Oakland Athletics,Oakland Coliseum,837466,OAK
1968,NL,PHI,PHI,,7,N,Philadelphia Phillies,Connie Mack Stadium,664546,PHI
1968,NL,PIT,PIT,,6,N,Pittsburgh Pirates,Forbes Field,693485,PIT
1968,NL,SFN,SFG,,2,N,San Francisco Giants,Candlestick Park,837220,SFG
1968,NL,SLN,STL,,1,N,St. Louis Cardinals,Busch Stadium II,2011167,STL
1968,AL,WS2,TEX,,10,N,Washington Senators,R.F.K. Stadium,546661,WSA
1969,NL,ATL,ATL,W,1,N,Atlanta Braves,Atlanta-Fulton County Stadium,1458320,ATL
1969,AL,BAL,BAL,E,1,N,Baltimore Orioles,Memorial Stadium,1062069,BAL
1969,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,1833246,BOS
1969,AL,CAL,ANA,W,3,N,California Angels,Anaheim Stadium,758388,CAL
1969,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,589546,CHW
1969,NL,CHN,CHC,E,2,N,Chicago Cubs,Wrigley Field,1674993,CHC
1969,NL,CIN,CIN,W,3,N,Cincinnati Reds,Crosley Field,987991,CIN
1969,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,619970,CLE
1969,AL,DET,DET,E,2,N,Detroit Tigers,Tiger Stadium,1577481,DET
1969,NL,HOU,HOU,W,5,N,Houston Astros,Astrodome,1442995,HOU
1969,AL,KCA,KCR,W,4,N,Kansas City Royals,Municipal Stadium II,902414,KCR
1969,NL,LAN,LAD,W,4,N,Los Angeles Dodgers,Dodger Stadium,1784527,LAD
1969,AL,MIN,MIN,W,1,N,Minnesota Twins,Metropolitan Stadium,1349328,MIN
1969,NL,MON,WSN,E,6,N,Montreal Expos,Jarry Park,1212608,MON
1969,AL,NYA,NYY,E,5,N,New York Yankees,Yankee Stadium I,1067996,NYY
1969,NL,NYN,NYM,E,1,Y,New York Mets,Shea Stadium,2175373,NYM
1969,AL,OAK,OAK,W,2,N,Oakland Athletics,Oakland Coliseum,778232,OAK
1969,NL,PHI,PHI,E,5,N,Philadelphia Phillies,Connie Mack Stadium,519414,PHI
1969,NL,PIT,PIT,E,3,N,Pittsburgh Pirates,Forbes Field,769369,PIT
1969,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,512970,SDP
1969,AL,SE1,MIL,W,6,N,Seattle Pilots,Sicks Stadium,677944,SEP
1969,NL,SFN,SFG,W,2,N,San Francisco Giants,Candlestick Park,873603,SFG
1969,NL,SLN,STL,E,4,N,St. Louis Cardinals,Busch Stadium II,1682783,STL
1969,AL,WS2,TEX,E,4,N,Washington Senators,R.F.K. Stadium,918106,WSA
1970,NL,ATL,ATL,W,5,N,Atlanta Braves,Atlanta-Fulton County Stadium,1078848,ATL
1970,AL,BAL,BAL,E,1,Y,Baltimore Orioles,Memorial Stadium,1057069,BAL
1970,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,1595278,BOS
1970,AL,CAL,ANA,W,3,N,California Angels,Anaheim Stadium,1077741,CAL
1970,AL,CHA,CHW,W,6,N,Chicago White Sox,Comiskey Park,495355,CHW
1970,NL,CHN,CHC,E,2,N,Chicago Cubs,Wrigley Field,1642705,CHC
1970,NL,CIN,CIN,W,1,N,Cincinnati Reds,Crosley Field/Riverfront Stadium,1803568,CIN
1970,AL,CLE,CLE,E,5,N,Cleveland Indians,Cleveland Stadium,729752,CLE
1970,AL,DET,DET,E,4,N,Detroit Tigers,Tiger Stadium,1501293,DET
1970,NL,HOU,HOU,W,4,N,Houston Astros,Astrodome,1253444,HOU
1970,AL,KCA,KCR,W,4,N,Kansas City Royals,Municipal Stadium II,693047,KCR
1970,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,1697142,LAD
1970,AL,MIN,MIN,W,1,N,Minnesota Twins,Metropolitan Stadium,1261887,MIN
1970,AL,ML4,MIL,W,4,N,Milwaukee Brewers,County Stadium,933690,MIL
1970,NL,MON,WSN,E,6,N,Montreal Expos,Jarry Park,1424683,MON
1970,AL,NYA,NYY,E,2,N,New York Yankees,Yankee Stadium I,1136879,NYY
1970,NL,NYN,NYM,E,3,N,New York Mets,Shea Stadium,2697479,NYM
1970,AL,OAK,OAK,W,2,N,Oakland Athletics,Oakland Coliseum,778355,OAK
1970,NL,PHI,PHI,E,5,N,Philadelphia Phillies,Connie Mack Stadium,708247,PHI
1970,NL,PIT,PIT,E,1,N,Pittsburgh Pirates,Forbes Field/Three Rivers Stadium,1341947,PIT
1970,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,643679,SDP
1970,NL,SFN,SFG,W,3,N,San Francisco Giants,Candlestick Park,740720,SFG
1970,NL,SLN,STL,E,4,N,St. Louis Cardinals,Busch Stadium II,1629736,STL
1970,AL,WS2,TEX,E,6,N,Washington Senators,R.F.K. Stadium,824789,WSA
1971,NL,ATL,ATL,W,3,N,Atlanta Braves,Atlanta-Fulton County Stadium,1006320,ATL
1971,AL,BAL,BAL,E,1,N,Baltimore Orioles,Memorial Stadium,1023037,BAL
1971,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,1678732,BOS
1971,AL,CAL,ANA,W,4,N,California Angels,Anaheim Stadium,926373,CAL
1971,AL,CHA,CHW,W,3,N,Chicago White Sox,Comiskey Park,833891,CHW
1971,NL,CHN,CHC,E,3,N,Chicago Cubs,Wrigley Field,1653007,CHC
1971,NL,CIN,CIN,W,4,N,Cincinnati Reds,Riverfront Stadium,1501122,CIN
1971,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,591361,CLE
1971,AL,DET,DET,E,2,N,Detroit Tigers,Tiger Stadium,1591073,DET
1971,NL,HOU,HOU,W,4,N,Houston Astros,Astrodome,1261589,HOU
1971,AL,KCA,KCR,W,2,N,Kansas City Royals,Municipal Stadium II,910784,KCR
1971,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,2064594,LAD
1971,AL,MIN,MIN,W,5,N,Minnesota Twins,Metropolitan Stadium,940858,MIN
1971,AL,ML4,MIL,W,6,N,Milwaukee Brewers,County Stadium,731531,MIL
1971,NL,MON,WSN,E,5,N,Montreal Expos,Jarry Park,1290963,MON
1971,AL,NYA,NYY,E,4,N,New York Yankees,Yankee Stadium I,1070771,NYY
1971,NL,NYN,NYM,E,3,N,New York Mets,Shea Stadium,2266680,NYM
1971,AL,OAK,OAK,W,1,N,Oakland Athletics,Oakland Coliseum,914993,OAK
1971,NL,PHI,PHI,E,6,N,Philadelphia Phillies,Veterans Stadium,1511223,PHI
1971,NL,PIT,PIT,E,1,Y,Pittsburgh Pirates,Three Rivers Stadium,1501132,PIT
1971,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,557513,SDP
1971,NL,SFN,SFG,W,1,N,San Francisco Giants,Candlestick Park,1106043,SFG
1971,NL,SLN,STL,E,2,N,St. Louis Cardinals,Busch Stadium II,1604671,STL
1971,AL,WS2,TEX,E,5,N,Washington Senators,R.F.K. Stadium,655156,WSA
1972,NL,ATL,ATL,W,4,N,Atlanta Braves,Atlanta-Fulton County Stadium,752973,ATL
1972,AL,BAL,BAL,E,3,N,Baltimore Orioles,Memorial Stadium,899950,BAL
1972,AL,BOS,BOS,E,2,N,Boston Red Sox,Fenway Park II,1441718,BOS
1972,AL,CAL,ANA,W,5,N,California Angels,Anaheim Stadium,744190,CAL
1972,AL,CHA,CHW,W,2,N,Chicago White Sox,Comiskey Park,1177318,CHW
1972,NL,CHN,CHC,E,2,N,Chicago Cubs,Wrigley Field,1299163,CHC
1972,NL,CIN,CIN,W,1,N,Cincinnati Reds,Riverfront Stadium,1611459,CIN
1972,AL,CLE,CLE,E,5,N,Cleveland Indians,Cleveland Stadium,626354,CLE
1972,AL,DET,DET,E,1,N,Detroit Tigers,Tiger Stadium,1892386,DET
1972,NL,HOU,HOU,W,3,N,Houston Astros,Astrodome,1469247,HOU
1972,AL,KCA,KCR,W,4,N,Kansas City Royals,Municipal Stadium II,707656,KCR
1972,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,1860858,LAD
1972,AL,MIN,MIN,W,3,N,Minnesota Twins,Metropolitan Stadium,797901,MIN
1972,AL,ML4,MIL,E,6,N,Milwaukee Brewers,County Stadium,600440,MIL
1972,NL,MON,WSN,E,5,N,Montreal Expos,Jarry Park,1142145,MON
1972,AL,NYA,NYY,E,4,N,New York Yankees,Yankee Stadium I,966328,NYY
1972,NL,NYN,NYM,E,3,N,New York Mets,Shea Stadium,2134185,NYM
1972,AL,OAK,OAK,W,1,Y,Oakland Athletics,Oakland Coliseum,921323,OAK
1972,NL,PHI,PHI,E,6,N,Philadelphia Phillies,Veterans Stadium,1343329,PHI
1972,NL,PIT,PIT,E,1,N,Pittsburgh Pirates,Three Rivers Stadium,1427460,PIT
1972,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,644273,SDP
1972,NL,SFN,SFG,W,5,N,San Francisco Giants,Candlestick Park,647744,SFG
1972,NL,SLN,STL,E,4,N,St. Louis Cardinals,Busch Stadium II,1196894,STL
1972,AL,TEX,TEX,W,6,N,Texas Rangers,Arlington Stadium,662974,TEX
1973,NL,ATL,ATL,W,5,N,Atlanta Braves,Atlanta-Fulton County Stadium,800655,ATL
1973,AL,BAL,BAL,E,1,N,Baltimore Orioles,Memorial Stadium,958667,BAL
1973,AL,BOS,BOS,E,2,N,Boston Red Sox,Fenway Park II,1481002,BOS
1973,AL,CAL,ANA,W,4,N,California Angels,Anaheim Stadium,1058206,CAL
1973,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,1302527,CHW
1973,NL,CHN,CHC,E,5,N,Chicago Cubs,Wrigley Field,1351705,CHC
1973,NL,CIN,CIN,W,1,N,Cincinnati Reds,Riverfront Stadium,2017601,CIN
1973,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,615107,CLE
1973,AL,DET,DET,E,3,N,Detroit Tigers,Tiger Stadium,1724146,DET
1973,NL,HOU,HOU,W,4,N,Houston Astros,Astrodome,1394004,HOU
1973,AL,KCA,KCR,W,2,N,Kansas City Royals,Royals Stadium,1345341,KCR
1973,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,2136192,LAD
1973,AL,MIN,MIN,W,3,N,Minnesota Twins,Metropolitan Stadium,907499,MIN
1973,AL,ML4,MIL,E,5,N,Milwaukee Brewers,County Stadium,1092158,MIL
1973,NL,MON,WSN,E,4,N,Montreal Expos,Jarry Park,1246863,MON
1973,AL,NYA,NYY,E,4,N,New York Yankees,Yankee Stadium I,1262103,NYY
1973,NL,NYN,NYM,E,1,N,New York Mets,Shea Stadium,1912390,NYM
1973,AL,OAK,OAK,W,1,Y,Oakland Athletics,Oakland Coliseum,1000763,OAK
1973,NL,PHI,PHI,E,6,N,Philadelphia Phillies,Veterans Stadium,1475934,PHI
1973,NL,PIT,PIT,E,3,N,Pittsburgh Pirates,Three Rivers Stadium,1319913,PIT
1973,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,611826,SDP
1973,NL,SFN,SFG,W,3,N,San Francisco Giants,Candlestick Park,834193,SFG
1973,NL,SLN,STL,E,2,N,St. Louis Cardinals,Busch Stadium II,1574046,STL
1973,AL,TEX,TEX,W,6,N,Texas Rangers,Arlington Stadium,686085,TEX
1974,NL,ATL,ATL,W,3,N,Atlanta Braves,Atlanta-Fulton County Stadium,981085,ATL
1974,AL,BAL,BAL,E,1,N,Baltimore Orioles,Memorial Stadium,962572,BAL
1974,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,1556411,BOS
1974,AL,CAL,ANA,W,6,N,California Angels,Anaheim Stadium,917269,CAL
1974,AL,CHA,CHW,W,4,N,Chicago White Sox,Comiskey Park,1149596,CHW
1974,NL,CHN,CHC,E,6,N,Chicago Cubs,Wrigley Field,1015378,CHC
1974,NL,CIN,CIN,W,2,N,Cincinnati Reds,Riverfront Stadium,2164307,CIN
1974,AL,CLE,CLE,E,4,N,Cleveland Indians,Cleveland Stadium,1114262,CLE
1974,AL,DET,DET,E,6,N,Detroit Tigers,Tiger Stadium,1243080,DET
1974,NL,HOU,HOU,W,4,N,Houston Astros,Astrodome,1090728,HOU
1974,AL,KCA,KCR,W,5,N,Kansas City Royals,Royals Stadium,1173292,KCR
1974,NL,LAN,LAD,W,1,N,Los Angeles Dodgers,Dodger Stadium,2632474,LAD
1974,AL,MIN,MIN,W,3,N,Minnesota Twins,Metropolitan Stadium,662401,MIN
1974,AL,ML4,MIL,E,5,N,Milwaukee Brewers,County Stadium,955741,MIL
1974,NL,MON,WSN,E,4,N,Montreal Expos,Jarry Park,1019134,MON
1974,AL,NYA,NYY,E,2,N,New York Yankees,Shea Stadium,1273075,NYY
1974,NL,NYN,NYM,E,5,N,New York Mets,Shea Stadium,1722209,NYM
1974,AL,OAK,OAK,W,1,Y,Oakland Athletics,Oakland Coliseum,845693,OAK
1974,NL,PHI,PHI,E,3,N,Philadelphia Phillies,Veterans Stadium,1808648,PHI
1974,NL,PIT,PIT,E,1,N,Pittsburgh Pirates,Three Rivers Stadium,1110552,PIT
1974,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,1075399,SDP
1974,NL,SFN,SFG,W,5,N,San Francisco Giants,Candlestick Park,519987,SFG
1974,NL,SLN,STL,E,2,N,St. Louis Cardinals,Busch Stadium II,1838413,STL
1974,AL,TEX,TEX,W,2,N,Texas Rangers,Arlington Stadium,1193902,TEX
1975,NL,ATL,ATL,W,5,N,Atlanta Braves,Atlanta-Fulton County Stadium,534672,ATL
1975,AL,BAL,BAL,E,2,N,Baltimore Orioles,Memorial Stadium,1002157,BAL
1975,AL,BOS,BOS,E,1,N,Boston Red Sox,Fenway Park II,1748587,BOS
1975,AL,CAL,ANA,W,6,N,California Angels,Anaheim Stadium,1058163,CAL
1975,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,750802,CHW
1975,NL,CHN,CHC,E,5,N,Chicago Cubs,Wrigley Field,1034819,CHC
1975,NL,CIN,CIN,W,1,Y,Cincinnati Reds,Riverfront Stadium,2315603,CIN
1975,AL,CLE,CLE,E,4,N,Cleveland Indians,Cleveland Stadium,977039,CLE
1975,AL,DET,DET,E,6,N,Detroit Tigers,Tiger Stadium,1058836,DET
1975,NL,HOU,HOU,W,6,N,Houston Astros,Astrodome,858002,HOU
1975,AL,KCA,KCR,W,2,N,Kansas City Royals,Royals Stadium,1151836,KCR
1975,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,2539349,LAD
1975,AL,MIN,MIN,W,4,N,Minnesota Twins,Metropolitan Stadium,737156,MIN
1975,AL,ML4,MIL,E,5,N,Milwaukee Brewers,County Stadium,1213357,MIL
1975,NL,MON,WSN,E,5,N,Montreal Expos,Jarry Park,908292,MON
1975,AL,NYA,NYY,E,3,N,New York Yankees,Shea Stadium,1288048,NYY
1975,NL,NYN,NYM,E,3,N,New York Mets,Shea Stadium,1730566,NYM
1975,AL,OAK,OAK,W,1,N,Oakland Athletics,Oakland Coliseum,1075518,OAK
1975,NL,PHI,PHI,E,2,N,Philadelphia Phillies,Veterans Stadium,1909233,PHI
1975,NL,PIT,PIT,E,1,N,Pittsburgh Pirates,Three Rivers Stadium,1270018,PIT
1975,NL,SDN,SDP,W,4,N,San Diego Padres,Jack Murphy Stadium,1281747,SDP
1975,NL,SFN,SFG,W,3,N,San Francisco Giants,Candlestick Park,522919,SFG
1975,NL,SLN,STL,E,3,N,St. Louis Cardinals,Busch Stadium II,1695270,STL
1975,AL,TEX,TEX,W,3,N,Texas Rangers,Arlington Stadium,1127924,TEX
1976,NL,ATL,ATL,W,6,N,Atlanta Braves,Atlanta-Fulton County Stadium,818179,ATL
1976,AL,BAL,BAL,E,2,N,Baltimore Orioles,Memorial Stadium,1058609,BAL
1976,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,1895846,BOS
1976,AL,CAL,ANA,W,4,N,California Angels,Anaheim Stadium,1006774,CAL
1976,AL,CHA,CHW,W,6,N,Chicago White Sox,Comiskey Park,914945,CHW
1976,NL,CHN,CHC,E,4,N,Chicago Cubs,Wrigley Field,1026217,CHC
1976,NL,CIN,CIN,W,1,Y,Cincinnati Reds,Riverfront Stadium,2629708,CIN
1976,AL,CLE,CLE,E,4,N,Cleveland Indians,Cleveland Stadium,948776,CLE
1976,AL,DET,DET,E,5,N,Detroit Tigers,Tiger Stadium,1467020,DET
1976,NL,HOU,HOU,W,3,N,Houston Astros,Astrodome,886146,HOU
1976,AL,KCA,KCR,W,1,N,Kansas City Royals,Royals Stadium,1680265,KCR
1976,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,2386301,LAD
1976,AL,MIN,MIN,W,3,N,Minnesota Twins,Metropolitan Stadium,715394,MIN
1976,AL,ML4,MIL,E,6,N,Milwaukee Brewers,County Stadium,1012164,MIL
1976,NL,MON,WSN,E,6,N,Montreal Expos,Jarry Park,646704,MON
1976,AL,NYA,NYY,E,1,N,New York Yankees,Yankee Stadium II,2012434,NYY
1976,NL,NYN,NYM,E,3,N,New York Mets,Shea Stadium,1468754,NYM
1976,AL,OAK,OAK,W,2,N,Oakland Athletics,Oakland Coliseum,780593,OAK
1976,NL,PHI,PHI,E,1,N,Philadelphia Phillies,Veterans Stadium,2480150,PHI
1976,NL,PIT,PIT,E,2,N,Pittsburgh Pirates,Three Rivers Stadium,1025945,PIT
1976,NL,SDN,SDP,W,5,N,San Diego Padres,Jack Murphy Stadium,1458478,SDP
1976,NL,SFN,SFG,W,4,N,San Francisco Giants,Candlestick Park,626868,SFG
1976,NL,SLN,STL,E,5,N,St. Louis Cardinals,Busch Stadium II,1207079,STL
1976,AL,TEX,TEX,W,4,N,Texas Rangers,Arlington Stadium,1164982,TEX
1977,NL,ATL,ATL,W,6,N,Atlanta Braves,Atlanta-Fulton County Stadium,872464,ATL
1977,AL,BAL,BAL,E,2,N,Baltimore Orioles,Memorial Stadium,1195769,BAL
1977,AL,BOS,BOS,E,2,N,Boston Red Sox,Fenway Park II,2074549,BOS
1977,AL,CAL,ANA,W,5,N,California Angels,Anaheim Stadium,1432633,CAL
1977,AL,CHA,CHW,W,3,N,Chicago White Sox,Comiskey Park,1657135,CHW
1977,NL,CHN,CHC,E,4,N,Chicago Cubs,Wrigley Field,1439834,CHC
1977,NL,CIN,CIN,W,2,N,Cincinnati Reds,Riverfront Stadium,2519670,CIN
1977,AL,CLE,CLE,E,5,N,Cleveland Indians,Cleveland Stadium,900365,CLE
1977,AL,DET,DET,E,4,N,Detroit Tigers,Tiger Stadium,1359856,DET
1977,NL,HOU,HOU,W,3,N,Houston Astros,Astrodome,1109560,HOU
1977,AL,KCA,KCR,W,1,N,Kansas City Royals,Royals Stadium,1852603,KCR
1977,NL,LAN,LAD,W,1,N,Los Angeles Dodgers,Dodger Stadium,2955087,LAD
1977,AL,MIN,MIN,W,4,N,Minnesota Twins,Metropolitan Stadium,1162727,MIN
1977,AL,ML4,MIL,E,6,N,Milwaukee Brewers,County Stadium,1114938,MIL
1977,NL,MON,WSN,E,5,N,Montreal Expos,Stade Olympique,1433757,MON
1977,AL,NYA,NYY,E,1,Y,New York Yankees,Yankee Stadium II,2103092,NYY
1977,NL,NYN,NYM,E,6,N,New York Mets,Shea Stadium,1066825,NYM
1977,AL,OAK,OAK,W,7,N,Oakland Athletics,Oakland Coliseum,495599,OAK
1977,NL,PHI,PHI,E,1,N,Philadelphia Phillies,Veterans Stadium,2700070,PHI
1977,NL,PIT,PIT,E,2,N,Pittsburgh Pirates,Three Rivers Stadium,1237349,PIT
1977,NL,SDN,SDP,W,5,N,San Diego Padres,Jack Murphy Stadium,1376269,SDP
1977,AL,SEA,SEA,W,6,N,Seattle Mariners,Kingdome,1338511,SEA
1977,NL,SFN,SFG,W,4,N,San Francisco Giants,Candlestick Park,700056,SFG
1977,NL,SLN,STL,E,3,N,St. Louis Cardinals,Busch Stadium II,1659287,STL
1977,AL,TEX,TEX,W,2,N,Texas Rangers,Arlington Stadium,1250722,TEX
1977,AL,TOR,TOR,E,7,N,Toronto Blue Jays,Exhibition Stadium,1701052,TOR
1978,NL,ATL,ATL,W,6,N,Atlanta Braves,Atlanta-Fulton County Stadium,904494,ATL
1978,AL,BAL,BAL,E,4,N,Baltimore Orioles,Memorial Stadium,1051724,BAL
1978,AL,BOS,BOS,E,2,N,Boston Red Sox,Fenway Park II,2320643,BOS
1978,AL,CAL,ANA,W,2,N,California Angels,Anaheim Stadium,1755386,CAL
1978,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,1491100,CHW
1978,NL,CHN,CHC,E,3,N,Chicago Cubs,Wrigley Field,1525311,CHC
1978,NL,CIN,CIN,W,2,N,Cincinnati Reds,Riverfront Stadium,2532497,CIN
1978,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,800584,CLE
1978,AL,DET,DET,E,5,N,Detroit Tigers,Tiger Stadium,1714893,DET
1978,NL,HOU,HOU,W,5,N,Houston Astros,Astrodome,1126145,HOU
1978,AL,KCA,KCR,W,1,N,Kansas City Royals,Royals Stadium,2255493,KCR
1978,NL,LAN,LAD,W,1,N,Los Angeles Dodgers,Dodger Stadium,3347845,LAD
1978,AL,MIN,MIN,W,4,N,Minnesota Twins,Metropolitan Stadium,787878,MIN
1978,AL,ML4,MIL,E,3,N,Milwaukee Brewers,County Stadium,1601406,MIL
1978,NL,MON,WSN,E,4,N,Montreal Expos,Stade Olympique,1427007,MON
1978,AL,NYA,NYY,E,1,Y,New York Yankees,Yankee Stadium II,2335871,NYY
1978,NL,NYN,NYM,E,6,N,New York Mets,Shea Stadium,1007328,NYM
1978,AL,OAK,OAK,W,6,N,Oakland Athletics,Oakland Coliseum,526999,OAK
1978,NL,PHI,PHI,E,1,N,Philadelphia Phillies,Veterans Stadium,2583389,PHI
1978,NL,PIT,PIT,E,2,N,Pittsburgh Pirates,Three Rivers Stadium,964106,PIT
1978,NL,SDN,SDP,W,4,N,San Diego Padres,Jack Murphy Stadium,1670107,SDP
1978,AL,SEA,SEA,W,7,N,Seattle Mariners,Kingdome,877440,SEA
1978,NL,SFN,SFG,W,3,N,San Francisco Giants,Candlestick Park,1740477,SFG
1978,NL,SLN,STL,E,5,N,St. Louis Cardinals,Busch Stadium II,1278215,STL
1978,AL,TEX,TEX,W,2,N,Texas Rangers,Arlington Stadium,1447963,TEX
1978,AL,TOR,TOR,E,7,N,Toronto Blue Jays,Exhibition Stadium,1562585,TOR
1979,NL,ATL,ATL,W,6,N,Atlanta Braves,Atlanta-Fulton County Stadium,769465,ATL
1979,AL,BAL,BAL,E,1,N,Baltimore Orioles,Memorial Stadium,1681009,BAL
1979,AL,BOS,BOS,E,3,N,Boston Red Sox,Fenway Park II,2353114,BOS
1979,AL,CAL,ANA,W,1,N,California Angels,Anaheim Stadium,2523575,CAL
1979,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,1280702,CHW
1979,NL,CHN,CHC,E,5,N,Chicago Cubs,Wrigley Field,1648587,CHC
1979,NL,CIN,CIN,W,1,N,Cincinnati Reds,Riverfront Stadium,2356933,CIN
1979,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,1011644,CLE
1979,AL,DET,DET,E,5,N,Detroit Tigers,Tiger Stadium,1630929,DET
1979,NL,HOU,HOU,W,2,N,Houston Astros,Astrodome,1900312,HOU
1979,AL,KCA,KCR,W,2,N,Kansas City Royals,Royals Stadium,2261845,KCR
1979,NL,LAN,LAD,W,3,N,Los Angeles Dodgers,Dodger Stadium,2860954,LAD
1979,AL,MIN,MIN,W,4,N,Minnesota Twins,Metropolitan Stadium,1070521,MIN
1979,AL,ML4,MIL,E,2,N,Milwaukee Brewers,County Stadium,1918343,MIL
1979,NL,MON,WSN,E,2,N,Montreal Expos,Stade Olympique,2102173,MON
1979,AL,NYA,NYY,E,4,N,New York Yankees,Yankee Stadium II,2537765,NYY
1979,NL,NYN,NYM,E,6,N,New York Mets,Shea Stadium,788905,NYM
1979,AL,OAK,OAK,W,7,N,Oakland Athletics,Oakland Coliseum,306763,OAK
1979,NL,PHI,PHI,E,4,N,Philadelphia Phillies,Veterans Stadium,2775011,PHI
1979,NL,PIT,PIT,E,1,Y,Pittsburgh Pirates,Three Rivers Stadium,1435454,PIT
1979,NL,SDN,SDP,W,5,N,San Diego Padres,Jack Murphy Stadium,1456967,SDP
1979,AL,SEA,SEA,W,6,N,Seattle Mariners,Kingdome,844447,SEA
1979,NL,SFN,SFG,W,4,N,San Francisco Giants,Candlestick Park,1456402,SFG
1979,NL,SLN,STL,E,3,N,St. Louis Cardinals,Busch Stadium II,1627256,STL
1979,AL,TEX,TEX,W,3,N,Texas Rangers,Arlington Stadium,1519671,TEX
1979,AL,TOR,TOR,E,7,N,Toronto Blue Jays,Exhibition Stadium,1431651,TOR
1980,NL,ATL,ATL,W,4,N,Atlanta Braves,Atlanta-Fulton County Stadium,1048411,ATL
1980,AL,BAL,BAL,E,2,N,Baltimore Orioles,Memorial Stadium,1797438,BAL
1980,AL,BOS,BOS,E,5,N,Boston Red Sox,Fenway Park II,1956092,BOS
1980,AL,CAL,ANA,W,6,N,California Angels,Anaheim Stadium,2297327,CAL
1980,AL,CHA,CHW,W,5,N,Chicago White Sox,Comiskey Park,1200365,CHW
1980,NL,CHN,CHC,E,6,N,Chicago Cubs,Wrigley Field,1206776,CHC
1980,NL,CIN,CIN,W,3,N,Cincinnati Reds,Riverfront Stadium,2022450,CIN
1980,AL,CLE,CLE,E,6,N,Cleveland Indians,Cleveland Stadium,1033827,CLE
1980,AL,DET,DET,E,4,N,Detroit Tigers,Tiger Stadium,1785293,DET
1980,NL,HOU,HOU,W,1,N,Houston Astros,Astrodome,2278217,HOU
1980,AL,KCA,KCR,W,1,N,Kansas City Royals,Royals Stadium,2288714,KCR
1980,NL,LAN,LAD,W,2,N,Los Angeles Dodgers,Dodger Stadium,3249287,LAD
1980,AL,MIN,MIN,W,3,N,Minnesota Twins,Metropolitan Stadium,769206,MIN
1980,AL,ML4,MIL,E,3,N,Milwaukee Brewers,County Stadium,1857408,MIL
1980,NL,MON,WSN,E,2,N,Montreal Expos,Stade Olympique,2208175,MON
1980,AL,NYA,NYY,E,1,N,New York Yankees,Yankee Stadium II,2627417,NYY
1980,NL,NYN,NYM,E,5,N,New York Mets,Shea Stadium,1192073,NYM
1980,AL,OAK,OAK,W,2,N,Oakland Athletics,Oakland Coliseum,842259,OAK
1980,NL,PHI,PHI,E,1,Y,Philadelphia Phillies,Veterans Stadium,2651650,PHI
1980,NL,PIT,PIT,E,3,N,Pittsburgh Pirates,Three Rivers Stadium,1646757,PIT
1980,NL,SDN,SDP,W,6,N,San Diego Padres,Jack Murphy Stadium,1139026,SDP
