yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1885,AA,NY4,NYP,,7,N,New York Metropolitans,Polo Grounds I West Diamond,,NYP
1885,AA,PH4,PHA,,4,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1885,NL,PHI,PHI,,3,N,Philadelphia Quakers,Recreation Park,,PHI
1885,NL,PRO,PRO,,4,N,Providence Grays,Messer Street Grounds,,PRO
1885,AA,PT1,PIT,,3,N,Pittsburg Alleghenys,Recreation Park,,PIT
1885,AA,SL4,STL,,1,N,St. Louis Browns,Sportsman's Park I,,STL
1885,NL,SL5,SLM,,8,N,St. Louis Maroons,Sportsman's Park I,,SLM
1886,AA,BL2,BLO,,8,N,Baltimore Orioles,Oriole Park,,BAL
1886,AA,BR3,LAD,,3,N,Brooklyn Grays,Washington Park I,,BRO
1886,NL,BSN,ATL,,5,N,Boston Beaneaters,South End Grounds I,,BSN
1886,NL,CHN,CHC,,1,N,Chicago White Stockings,West Side Park I,,CHC
1886,AA,CN2,CIN,,5,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1886,NL,DTN,DTN,,2,N,Detroit Wolverines,Recreation Park,,DTN
1886,NL,KCN,KCN,,7,N,Kansas City Cowboys,Association Park,,KCN
1886,AA,LS2,LOU,,4,N,Louisville Colonels,Eclipse Park I,,LOU
1886,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds I,,NYG
1886,AA,NY4,NYP,,7,N,New York Metropolitans,St. George Cricket Grounds,,NYP
1886,AA,PH4,PHA,,6,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1886,NL,PHI,PHI,,4,N,Philadelphia Quakers,Recreation Park,,PHI
1886,AA,PT1,PIT,,2,N,Pittsburg Alleghenys,Recreation Park,,PIT
1886,AA,SL4,STL,,1,Y,St. Louis Browns,Sportsman's Park I,,STL
1886,NL,SL5,SLM,,6,N,St. Louis Maroons,Sportsman's Park I,,SLM
1886,NL,WS8,WNL,,8,N,Washington Nationals,Swampdoodle Grounds,,WHS
1887,AA,BL2,BLO,,3,N,Baltimore Orioles,Oriole Park,,BAL
1887,AA,BR3,LAD,,6,N,Brooklyn Grays,Washington Park I,,BRO
1887,NL,BSN,ATL,,5,N,Boston Beaneaters,South End Grounds I,,BSN
1887,NL,CHN,CHC,,3,N,Chicago White Stockings,West Side Park I,,CHC
1887,AA,CL3,CLV,,8,N,Cleveland Blues,National League Park II,,CLE
1887,AA,CN2,CIN,,2,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1887,NL,DTN,DTN,,1,Y,Detroit Wolverines,Recreation Park,,DTN
1887,NL,IN3,IND,,8,N,Indianapolis Hoosiers,Athletic Park I,,IND
1887,AA,LS2,LOU,,4,N,Louisville Colonels,Eclipse Park I,,LOU
1887,NL,NY1,SFG,,4,N,New York Giants,Polo Grounds I,,NYG
1887,AA,NY4,NYP,,7,N,New York Metropolitans,St. George Cricket Grounds,,NYP
1887,AA,PH4,PHA,,5,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1887,NL,PHI,PHI,,2,N,Philadelphia Quakers,Philadelphia Baseball Grounds,,PHI
1887,NL,PIT,PIT,,6,N,Pittsburg Alleghenys,Recreation Park,,PIT
1887,AA,SL4,STL,,1,N,St. Louis Browns,Sportsman's Park I,,STL
1887,NL,WS8,WNL,,7,N,Washington Nationals,Swampdoodle Grounds,,WHS
1888,AA,BL2,BLO,,5,N,Baltimore Orioles,Oriole Park,,BAL
1888,AA,BR3,LAD,,2,N,Brooklyn Bridegrooms,Washington Park I,,BRO
1888,NL,BSN,ATL,,4,N,Boston Beaneaters,South End Grounds II,,BSN
1888,NL,CHN,CHC,,2,N,Chicago White Stockings,West Side Park I,,CHC
1888,AA,CL3,CLV,,6,N,Cleveland Blues,National League Park II,,CLE
1888,AA,CN2,CIN,,4,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1888,NL,DTN,DTN,,5,N,Detroit Wolverines,Recreation Park,,DTN
1888,NL,IN3,IND,,7,N,Indianapolis Hoosiers,Athletic Park II,,IND
1888,AA,KC2,KCC,,8,N,Kansas City Cowboys,Association Park I,,KCC
1888,AA,LS2,LOU,,7,N,Louisville Colonels,Eclipse Park I,,LOU
1888,NL,NY1,SFG,,1,Y,New York Giants,Polo Grounds I,,NYG
1888,AA,PH4,PHA,,3,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1888,NL,PHI,PHI,,3,N,Philadelphia Quakers,Philadelphia Baseball Grounds,,PHI
1888,NL,PIT,PIT,,6,N,Pittsburg Alleghenys,Recreation Park,,PIT
1888,AA,SL4,STL,,1,N,St. Louis Browns,Sportsman's Park I,,STL
1888,NL,WS8,WNL,,8,N,Washington Nationals,Swampdoodle Grounds,,WHS
1889,AA,BL2,BLO,,5,N,Baltimore Orioles,Oriole Park,,BAL
1889,AA,BR3,LAD,,1,N,Brooklyn Bridegrooms,Washington Park I,,BRO
1889,NL,BSN,ATL,,2,N,Boston Beaneaters,South End Grounds II,,BSN
1889,NL,CHN,CHC,,3,N,Chicago White Stockings,West Side Park I,,CHC
1889,NL,CL4,CLV,,6,N,Cleveland Spiders,National League Park,,CLV
1889,AA,CL6,CLS,,6,N,Columbus Solons,Recreation Park II,,COL
1889,AA,CN2,CIN,,4,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1889,NL,IN3,IND,,7,N,Indianapolis Hoosiers,Athletic Park II,,IND
1889,AA,KC2,KCC,,7,N,Kansas City Cowboys,Exposition Park,,KCC
1889,AA,LS2,LOU,,8,N,Louisville Colonels,Eclipse Park I,,LOU
1889,NL,NY1,SFG,,1,Y,New York Giants,Polo Grounds II,,NYG
1889,AA,PH4,PHA,,3,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1889,NL,PHI,PHI,,4,N,Philadelphia Quakers,Philadelphia Baseball Grounds,,PHI
1889,NL,PIT,PIT,,5,N,Pittsburg Alleghenys,Recreation Park,,PIT
1889,AA,SL4,STL,,2,N,St. Louis Browns,Sportsman's Park I,,STL
1889,NL,WS8,WNL,,8,N,Washington Nationals,Swampdoodle Grounds,,WHS
1890,PL,BFP,BFB,,8,,Buffalo Bisons,,,BUF
1890,AA,BL3,BLO,,6,N,Baltimore Orioles,Oriole Park,,BAL
1890,AA,BR4,BRG,,9,N,Brooklyn Gladiators,Ridgewood Park,,BRG
1890,NL,BRO,LAD,,1,N,Brooklyn Bridegrooms,Washington Park II,121412,BRO
1890,PL,BRP,BWW,,2,,Brooklyn Ward's Wonders,,,BWW
1890,NL,BSN,ATL,,5,N,Boston Beaneaters,South End Grounds II,147539,BSN
1890,PL,BSP,BRS,,1,,Boston Reds,,,BOS
1890,NL,CHN,CHC,,2,N,Chicago Colts,West Side Park I,102536,CHC
1890,PL,CHP,CHP,,4,,Chicago Pirates,,,CHI
1890,NL,CIN,CIN,,4,N,Cincinnati Reds,League Park I in Cincinnati,131980,CIN
1890,NL,CL4,CLV,,7,N,Cleveland Spiders,National League Park,47478,CLV
1890,AA,CL6,CLS,,2,N,Columbus Solons,Recreation Park II,,COL
1890,PL,CLP,CLI,,7,,Cleveland Infants,,,CLE
1890,AA,LS2,LOU,,1,N,Louisville Colonels,Eclipse Park I,,LOU
1890,NL,NY1,SFG,,6,N,New York Giants,Polo Grounds II,60667,NYG
1890,PL,NYP,NYI,,3,,New York Giants,,,NYI
1890,AA,PH4,PHA,,8,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1890,NL,PHI,PHI,,3,N,Philadelphia Phillies,Philadelphia Baseball Grounds,148366,PHI
1890,PL,PHP,PHQ,,5,,Philadelphia Athletics,,,PHQ
1890,NL,PIT,PIT,,8,N,Pittsburg Alleghenys,Recreation Park,16064,PIT
1890,PL,PTP,PBB,,6,,Pittsburgh Burghers,,,PBB
1890,AA,RC2,ROC,,5,N,Rochester Broncos,Culver Field I,,ROC
1890,AA,SL4,STL,,3,N,St. Louis Browns,Sportsman's Park I,,STL
1890,AA,SR2,SYS,,7,N,Syracuse Stars,Star Park II,,SYR
1890,AA,TL2,TLM,,4,N,Toledo Maumees,Speranza Park,,TOL
1891,AA,BL3,BLO,,4,,Baltimore Orioles,Union Park,,BAL
1891,NL,BRO,LAD,,6,,Brooklyn Grooms,Eastern Park,181477,BRO
1891,AA,BS2,BRS,,1,,Boston Reds,Congress Street Grounds,,BOS
1891,NL,BSN,ATL,,1,,Boston Beaneaters,South End Grounds II,184472,BSN
1891,NL,CHN,CHC,,2,,Chicago Colts,South Side Park I,181431,CHC
1891,NL,CIN,CIN,,7,,Cincinnati Reds,League Park I in Cincinnati,97500,CIN
1891,NL,CL4,CLV,,5,,Cleveland Spiders,League Park I,132000,CLV
1891,AA,CL6,CLS,,6,,Columbus Solons,Recreation Park II,,COL
1891,AA,CN3,CKK,,7,,Cincinnati Kelly's Killers,East End Park,,CKK
1891,AA,LS2,LOU,,8,,Louisville Colonels,Eclipse Park I,,LOU
1891,AA,ML3,MLA,,3,,Milwaukee Brewers,Athletic Field,,MIL
1891,NL,NY1,SFG,,3,,New York Giants,Polo Grounds III,210568,NYG
1891,AA,PH4,PHQ,,5,,Philadelphia Athletics,Athletic Park,,PHA
1891,NL,PHI,PHI,,4,,Philadelphia Phillies,Philadelphia Baseball Grounds,217282,PHI
1891,NL,PIT,PIT,,8,,Pittsburgh Pirates,Exposition Park,128000,PIT
1891,AA,SL4,STL,,2,,St. Louis Browns,Sportsman's Park I,,STL
1891,AA,WS9,WAS,,9,,Washington Statesmen,Boundary Field,,WAS
1892,NL,BLN,BLO,,12,,Baltimore Orioles,Union Park,93589,BLN
1892,NL,BRO,LAD,,3,,Brooklyn Grooms,Eastern Park,183727,BRO
1892,NL,BSN,ATL,,1,,Boston Beaneaters,South End Grounds II,146421,BSN
1892,NL,CHN,CHC,,7,,Chicago Colts,South Side Park I,109067,CHC
1892,NL,CIN,CIN,,5,,Cincinnati Reds,League Park I in Cincinnati,196473,CIN
1892,NL,CL4,CLV,,2,,Cleveland Spiders,League Park I,139928,CLV
1892,NL,LS3,LOU,,9,,Louisville Colonels,Eclipse Park I,131159,LOU
1892,NL,NY1,SFG,,8,,New York Giants,Polo Grounds III,130566,NYG
1892,NL,PHI,PHI,,4,,Philadelphia Phillies,Philadelphia Baseball Grounds,193731,PHI
1892,NL,PIT,PIT,,6,,Pittsburgh Pirates,Exposition Park,177205,PIT
1892,NL,SLN,STL,,11,,St. Louis Browns,Sportsman's Park I,192442,STL
1892,NL,WAS,WAS,,10,,Washington Senators,Boundary Field,128279,WHS
